SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
SUNDARMHLD, EQ, 25-Jun-2019, 87.05, 85.70, 88.00, 85.70, 87.75, 87.45, 87.21, 10194, 8.89, 282, 6292, 61.72
SUNDRMBRAK, EQ, 25-Jun-2019, 307.80, 314.90, 314.95, 297.15, 300.15, 301.80, 305.45, 1013, 3.09, 152, 682, 67.32
SUNDRMFAST, EQ, 25-Jun-2019, 524.20, 524.00, 525.10, 513.65, 516.80, 516.35, 519.01, 36580, 189.85, 2859, 27537, 75.28
SUNFLAG, EQ, 25-Jun-2019, 33.80, 33.65, 34.35, 33.10, 34.20, 34.00, 33.76, 94268, 31.83, 1199, 32481, 34.46
SUNILHITEC, BE, 25-Jun-2019, 0.40, 0.35, 0.45, 0.35, 0.40, 0.40, 0.36, 1125037, 4.04, 279, -, -
SUNPHARMA, EQ, 25-Jun-2019, 383.45, 382.50, 387.50, 377.55, 384.40, 385.75, 382.34, 4480306, 17129.83, 70562, 1508507, 33.67
SUNTECK, EQ, 25-Jun-2019, 419.25, 417.10, 433.90, 413.50, 429.55, 427.60, 424.58, 108917, 462.44, 6102, 19826, 18.20
SUNTV, EQ, 25-Jun-2019, 518.70, 518.00, 521.80, 510.75, 520.80, 520.05, 515.95, 1561940, 8058.84, 26030, 241826, 15.48
SUPERHOUSE, EQ, 25-Jun-2019, 94.60, 91.00, 97.00, 91.00, 94.00, 94.70, 94.19, 828, 0.78, 65, 611, 73.79
SUPERSPIN, EQ, 25-Jun-2019, 6.00, 5.70, 6.35, 5.35, 5.55, 5.45, 5.58, 35896, 2.00, 133, 27024, 75.28
SUPPETRO, EQ, 25-Jun-2019, 202.00, 202.45, 205.05, 200.15, 202.00, 201.95, 202.30, 3655, 7.39, 192, 2692, 73.65
SUPRAJIT, EQ, 25-Jun-2019, 199.75, 202.80, 203.75, 198.00, 200.70, 202.00, 200.71, 12448, 24.98, 649, 8255, 66.32
SUPREMEENG, SM, 25-Jun-2019, 33.00, 33.00, 36.80, 33.00, 36.00, 35.70, 35.00, 40000, 14.00, 9, 36000, 90.00
