SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
PRECWIRE, EQ, 18-Jul-2019, 178.55, 180.00, 180.00, 176.90, 177.00, 178.00, 178.62, 4927, 8.80, 250, 3073, 62.37
PREMEXPLN, EQ, 18-Jul-2019, 183.90, 182.70, 187.05, 182.35, 183.80, 184.35, 184.99, 4591, 8.49, 123, 1857, 40.45
PREMIER, BE, 18-Jul-2019, 3.70, 3.55, 3.85, 3.55, 3.55, 3.55, 3.55, 802, 0.03, 18, -, -
PREMIERPOL, EQ, 18-Jul-2019, 21.60, 21.60, 23.45, 21.20, 23.00, 22.90, 22.74, 63, 0.01, 6, 54, 85.71
PRESSMN, EQ, 18-Jul-2019, 24.50, 24.10, 24.95, 24.05, 24.05, 24.10, 24.27, 997, 0.24, 48, 866, 86.86
PRESTIGE, EQ, 18-Jul-2019, 276.80, 280.00, 280.00, 273.00, 276.00, 276.10, 275.66, 67493, 186.05, 2346, 21807, 32.31
PRICOLLTD, EQ, 18-Jul-2019, 31.05, 31.05, 31.35, 28.50, 28.70, 29.05, 29.60, 157771, 46.70, 972, 125816, 79.75
PRIMESECU, EQ, 18-Jul-2019, 40.40, 40.35, 41.00, 39.00, 39.75, 40.60, 40.19, 90865, 36.52, 985, 68074, 74.92
PROVOGE, BE, 18-Jul-2019, 1.60, 1.55, 1.55, 1.55, 1.55, 1.55, 1.55, 7032, 0.11, 11, -, -
PROZONINTU, BE, 18-Jul-2019, 16.80, 16.50, 17.60, 16.50, 17.60, 17.60, 17.39, 19123, 3.33, 71, -, -
PRSMJOHNSN, EQ, 18-Jul-2019, 95.00, 94.80, 94.80, 91.00, 91.30, 91.55, 92.54, 89124, 82.47, 1547, 62202, 69.79
PSB, EQ, 18-Jul-2019, 25.80, 24.50, 25.35, 24.15, 25.10, 24.90, 24.74, 376932, 93.26, 1643, 56532, 15.00
PSL, EQ, 18-Jul-2019, 0.80, 0.75, 0.80, 0.75, 0.75, 0.75, 0.75, 24784, 0.19, 33, 23752, 95.84
PSPPROJECT, EQ, 18-Jul-2019, 520.10, 512.20, 523.65, 512.20, 520.00, 520.40, 520.05, 13646, 70.97, 262, 12896, 94.50
PSUBNKBEES, EQ, 18-Jul-2019, 349.23, 345.70, 347.58, 339.46, 339.50, 339.89, 342.26, 1032, 3.53, 79, 978, 94.77
PTC, EQ, 18-Jul-2019, 63.95, 64.00, 64.30, 63.10, 63.40, 63.25, 63.64, 280545, 178.55, 5573, 146545, 52.24
PTL, EQ, 18-Jul-2019, 39.00, 38.60, 38.85, 37.55, 37.75, 37.90, 37.94, 17541, 6.65, 198, 13299, 75.82
PUNJABCHEM, EQ, 18-Jul-2019, 610.40, 607.00, 607.00, 597.15, 600.50, 601.75, 601.15, 1425, 8.57, 96, 1235, 86.67
PUNJLLOYD, EQ, 18-Jul-2019, 1.35, 1.35, 1.40, 1.30, 1.35, 1.35, 1.34, 418302, 5.61, 194, 227870, 54.47
PURVA, EQ, 18-Jul-2019, 65.85, 66.20, 66.20, 63.50, 63.50, 63.65, 64.15, 146262, 93.83, 1415, 107858, 73.74
PUSHPREALM, SM, 18-Jul-2019, 6.50, 6.20, 6.20, 6.20, 6.20, 6.20, 6.20, 2000, 0.12, 1, 2000, 100.00
PVR, EQ, 18-Jul-2019, 1752.45, 1750.00, 1772.75, 1740.65, 1744.50, 1748.10, 1757.91, 224993, 3955.18, 12797, 47295, 21.02
QGOLDHALF, EQ, 18-Jul-2019, 1511.25, 1530.00, 1541.00, 1530.00, 1540.00, 1540.00, 1537.65, 739, 11.36, 84, 510, 69.01
QUESS, EQ, 18-Jul-2019, 472.20, 469.85, 487.00, 465.05, 476.10, 476.55, 477.53, 371383, 1773.48, 15774, 98695, 26.57
QUICKHEAL, EQ, 18-Jul-2019, 153.25, 152.55, 153.95, 143.50, 144.00, 144.25, 147.17, 112521, 165.59, 4452, 63178, 56.15
QUINTEGRA, BE, 18-Jul-2019, 0.85, 0.80, 0.80, 0.80, 0.80, 0.80, 0.80, 18074, 0.14, 18, -, -
RADAAN, EQ, 18-Jul-2019, 1.50, 1.45, 1.50, 1.45, 1.50, 1.50, 1.46, 6760, 0.10, 9, 6760, 100.00
RADICO, EQ, 18-Jul-2019, 290.80, 292.45, 293.90, 281.80, 283.00, 282.65, 286.13, 227533, 651.04, 8034, 106977, 47.02
RADIOCITY, EQ, 18-Jul-2019, 57.35, 57.35, 57.35, 54.40, 57.00, 56.45, 56.40, 89935, 50.73, 754, 55523, 61.74
RAIN, EQ, 18-Jul-2019, 91.55, 91.55, 92.50, 88.40, 89.20, 89.00, 89.64, 792131, 710.04, 8255, 478364, 60.39
RAJESHEXPO, EQ, 18-Jul-2019, 684.75, 686.80, 688.50, 684.30, 685.30, 685.80, 685.74, 343494, 2355.46, 4419, 66503, 19.36
RAJRAYON, BZ, 18-Jul-2019, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 255769, 0.13, 55, -, -
